x,y,WeightedProbabiliticGoals,GoalProbability
24,74,0,0
24,76,0,0
24,78,0,0
24,80,0,0
26,0,0.00191104115949022,0.026
26,2,0.00401779655210701,0.03
26,4,0.00589690409388108,0.028
26,6,0.00603750307852585,0.019
26,8,0.00432146147035786,0.009
26,10,0.00217092714668708,0.004
26,12,0.000772511415246715,0.001
26,14,0.000198762785947932,0
26,16,0.0000385042682540524,0
26,18,0,0
26,20,0,0
26,22,0,0
26,24,0,0
26,26,0,0
26,28,0,0
26,30,0,0
26,32,0,0
26,34,0.000063048523643776,0
26,36,0.000176872777051521,0.001
26,38,0.000345931068238256,0.001
26,40,0.000565319372422492,0.002
26,42,0.000685859154338757,0.002
26,44,0.000760504238289846,0.002
26,46,0.000928476219897247,0.002
26,48,0.00168969844178596,0.003
26,50,0.00393988893710247,0.006
26,52,0.00794653492585766,0.01
26,54,0.0116955096962991,0.014
26,56,0.0121147378370234,0.016
26,58,0.00880519623747361,0.014
26,60,0.00450863678340573,0.01
26,62,0.00165715505755421,0.006
26,64,0.000458048653392928,0.003
26,66,0.000104127339335336,0.001
26,68,0.0000213691680578597,0
26,70,0,0
26,72,0,0
26,74,0,0
26,76,0,0
26,78,0,0
26,80,0,0
28,0,0.00551884270082129,0.1
28,2,0.0116172450415522,0.097
28,4,0.017058377361643,0.077
28,6,0.0175077126450094,0.049
28,8,0.0126056176282959,0.025
28,10,0.00642220083718243,0.01
28,12,0.00236038617207693,0.003
28,14,0.000650464849722042,0.001
28,16,0.000142678078478881,0
28,18,0.0000161192212865465,0
28,20,0,0
28,22,0,0
28,24,0,0
28,26,0,0
28,28,0,0
28,30,0,0
28,32,0.000000417762881311802,0
28,34,0.00000163343377726995,0
28,36,0.000027471129190464,0
28,38,0.000202052765257005,0.001
28,40,0.000613065074049922,0.003
28,42,0.00143941696956282,0.005
28,44,0.00248932795280753,0.007
28,46,0.00311885353386928,0.007
28,48,0.00313142443627449,0.006
28,50,0.00326079272188566,0.005
28,52,0.00432294425774072,0.005
28,54,0.00566209917765124,0.007
28,56,0.00571671300330943,0.007
28,58,0.00410679104462088,0.006
28,60,0.00208337949110506,0.004
28,62,0.000737417766980313,0.002
28,64,0.000186601375014297,0.001
28,66,0.0000303039607919932,0
28,68,0,0
28,70,0,0
28,72,0,0
28,74,0,0
28,76,0,0
28,78,0,0
28,80,0,0
30,0,0.0111241459258603,0.158
30,2,0.0234264523933887,0.148
30,4,0.034476750810894,0.122
30,6,0.0355798563978099,0.085
30,8,0.0259559195301958,0.048
30,10,0.0136305146679759,0.021
30,12,0.0053455822355995,0.007
30,14,0.00166000451178993,0.002
30,16,0.000431529683119493,0
30,18,0.000094306990443576,0
30,20,0.0000147824308234807,0
30,22,0,0
30,24,0,0
30,26,0,0
30,28,0,0
30,30,0.000000280934293882449,0
30,32,0.00000157556242331231,0
30,34,0.00000616037708365669,0
30,36,0.000131376011617337,0.001
30,38,0.000629802315142814,0.003
30,40,0.00221728857638881,0.007
30,42,0.00555527017977722,0.015
30,44,0.00978535869181083,0.023
30,46,0.0120765514138665,0.024
30,48,0.0105205620922123,0.019
30,50,0.00677654420302891,0.01
30,52,0.00384279950450213,0.005
30,54,0.00263878273705413,0.003
30,56,0.00212923442788618,0.003
30,58,0.00144712997608447,0.002
30,60,0.000740571294705263,0.001
30,62,0.000264981867005077,0.001
30,64,0.0000663221385054235,0
30,66,0.00000990503358355285,0
30,68,0,0
30,70,0,0
30,72,0,0
